Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
1,131,-91,2018,-75,4000,-4000,-1999,267
1,93,-233,2917,-78,4000,-4000,-2549,251
1,100,-369,3007,-84,4000,-4000,-4000,195
1,-108,-399,1770,-86,3232,-4000,-4000,186
1,-342,-192,815,-63,2759,-4000,-4000,140
1,-420,-4,-17,-22,2581,-4000,-4000,76
1,-473,40,-523,63,2386,-4000,-4000,154
1,-323,78,-317,124,1994,-4000,-4000,239
1,-91,139,-761,105,1669,-4000,-3637,241
1,107,56,-107,79,1971,-3848,-1684,296
1,334,0,2093,-105,2101,-3643,238,131
1,487,21,2095,-216,2101,-3405,1353,-450
1,537,-37,-146,-251,1850,-3144,2036,-909
1,281,-47,-1554,-359,420,-2895,2760,-1296
1,245,-55,-2241,-279,-1121,-2612,3754,-1709
1,277,8,-2318,-133,-2436,-2382,4000,-1831
1,102,98,-2497,-40,-4000,-2095,4000,-1911
1,-84,180,-2342,94,-4000,-1755,4000,-1820
1,-255,225,-1274,154,-3387,-1375,4000,-1204
1,-286,172,457,121,-1703,-875,4000,-419
1,-453,247,1900,142,-268,-466,4000,318
1,-700,162,2095,189,692,-200,4000,475
1,-875,10,2875,251,1328,-33,4000,486
1,-936,-50,2412,292,1319,107,4000,392
1,-814,-131,445,260,739,260,4000,-166
1,-618,-94,-1552,229,-82,267,4000,-740
1,-413,-101,-2566,203,-1422,136,4000,-1034
1,-210,-111,-2538,85,-2704,-30,4000,-858
1,105,-57,-1348,-42,-3593,48,4000,-622
1,436,-118,858,-72,-4000,276,4000,-319
1,452,-224,608,-71,-4000,495,4000,-248
1,245,-130,408,-150,-3990,818,4000,-352
1,32,-96,1283,-233,-3131,1051,4000,-454
1,39,-118,2054,-214,-1593,1519,4000,-506
1,211,-215,2917,4,487,1929,4000,-254
1,526,-206,2194,134,1026,2116,4000,198
1,827,-104,1729,129,1205,2123,4000,652
1,896,0,2326,77,1077,2084,4000,1047
1,920,21,2602,129,707,2084,4000,1150
1,994,136,-645,236,235,2169,4000,1313
1,-20,309,-2370,381,-2147,1539,4000,1142
1,-9,217,-356,434,-1261,1449,4000,1468
1,-59,-131,2680,199,-1096,880,3983,-1908
1,-80,-152,1810,252,-942,867,3689,-1884
1,-144,-78,394,167,-227,888,2969,-1469
1,-598,-22,-1321,69,1213,871,1280,-753
1,-1260,-5,-2431,2,3623,941,-939,-385
1,-1370,33,-1297,-43,4000,966,-4000,-500
1,-1264,-42,207,-210,4000,919,-4000,-753
1,-925,-264,1633,-291,4000,798,-4000,-1013
1,-649,-295,2669,-319,4000,561,-4000,-1330
1,-445,-202,2225,-214,4000,195,-4000,-1120
1,6,-64,784,-137,1669,-173,-4000,-716
1,595,111,-1348,-179,3150,-443,-4000,-447
1,1112,-23,-2538,-2,4000,-979,-4000,695
1,695,-128,-1240,153,4000,-905,-4000,1138
1,436,-266,-737,111,2872,-826,-4000,1578
1,577,-375,-737,104,-4000,-770,-4000,1388
1,1112,-352,18,88,-4000,-679,-4000,1091
1,1220,-383,-178,-141,-4000,-549,-4000,1205
1,1086,-220,237,-239,-4000,-351,-4000,1352
1,920,-48,2278,-234,-4000,-159,-4000,1452
1,113,110,2875,-206,-4000,-17,-4000,1270
1,-523,395,2356,-212,-4000,7,-4000,1216
1,-409,521,2398,-198,4000,-15,-4000,1236
1,-457,553,2087,-246,4000,-22,-1962,1258
1,-554,441,1509,-342,3851,-85,728,1372
1,-575,199,1582,-336,4000,-132,1864,1513
1,-523,-104,2343,-320,4000,-212,3038,1663
1,-497,-166,1574,-182,4000,-354,3475,1793
1,-531,93,-568,69,4000,-537,3286,2054
1,-232,335,-1036,154,4000,-773,1864,2249
1,202,420,-746,85,4000,-979,-101,2437
1,226,428,-22,-19,-4000,-1044,-2312,2753
1,0,344,-368,-104,-4000,-917,-4000,3226
1,-193,75,-711,-198,-4000,-732,-4000,3845
1,-303,-173,-373,-261,-4000,-516,-4000,4000
1,-95,-236,-1227,-210,-3172,-240,-4000,4000
1,183,-160,-776,-32,4000,-51,-4000,4000
1,341,-213,419,118,4000,56,-4000,3161
1,72,-264,310,193,4000,105,-4000,2563
1,-29,-161,-776,292,4000,-6,-4000,2422
1,106,-65,-2039,264,3623,-260,-4000,2966
1,554,-106,-2346,169,-4000,-1230,-4000,3666
1,329,53,-1811,-37,-4000,-1682,-4000,2954
1,145,27,-697,-148,-4000,-2107,-4000,1496
1,69,27,694,-314,-4000,-2382,-4000,-164
1,-155,17,1674,-344,-4000,-2351,-4000,-1986
1,-360,5,3045,-159,-4000,-2008,-4000,-3439
1,-553,103,2526,272,-4000,183,-4000,-2811
1,-527,103,-348,378,-4000,620,-4000,-2223
1,-518,59,-1202,402,-4000,896,-4000,-1849
1,-321,-7,-1106,248,-4000,817,-4000,-2576
1,-250,-142,-1101,252,-4000,599,-4000,-2556
1,-71,-237,-753,172,-4000,422,-4000,-2975
1,95,-173,541,-31,-4000,283,-4000,-3089
1,-8,-4,306,-46,-4000,209,-4000,-3178
1,5,46,-776,-81,-4000,115,-3532,-3319
1,-27,20,-1341,9,-2904,114,-2247,-2324
1,-60,1,-234,43,-1691,58,-1095,-2395
1,18,24,345,-11,-2484,-98,134,-2217
1,41,158,-935,-88,-4000,-287,1320,-2103
1,66,189,-1215,-108,-4000,-454,2321,-2295
1,93,57,-2163,-57,-4000,-535,3294,-2181
1,132,59,-2373,-64,-4000,-510,4000,-2218
1,90,58,-2086,-26,-4000,-394,4000,-2116
1,52,108,-1974,32,-4000,-407,4000,-2103
1,23,87,-499,113,-4000,-533,4000,-1925
1,-13,-14,-152,163,-4000,-718,4000,-1802
